"nbAct";"listAct";"crew_id"
10;"[20180809AF1831MXPCDG01,20180810AF1631MXPCDG01,20180810AF7641LYSCDG01,20180809AF1611HAMCDG01,20180808AF7587FSCCDG01,20180808AF1510CDGHAM01,20180810AF7640CDGLYS01,20180808AF7586CDGFSC01,20180809AF1230CDGMXP01,20180809AF1830CDGMXP01]";"crew172"
5;"[20180810AF1823MUCCDG01,20180809AF1343GVACDG01,20180809AF1122CDGMUC01,20180810AF1350CDGCPH01,20180809AF1342CDGGVA01]";"crew173"
6;"[20180810AF1146CDGWAW01,20180811AF7737BESCDG01,20180811AF7625BODCDG01,20180811AF7620CDGBOD01,20180810AF1147WAWCDG01,20180810AF7738CDGBES01]";"crew174"
7;"[20180806AF1465LEDCDG01,20180807AF1281LHRCDG01,20180805AF1069MANCDG01,20180807AF1844CDGSVO01,20180805AF1664CDGLED01,20180808AF1745SVOCDG01,20180806AF1180CDGLHR01]";"crew175"
4;"[20180808AF7731NTECDG01,20180810AF1887EDICDG01,20180808AF7730CDGNTE01,20180808AF1886CDGEDI01]";"crew176"
1;"[20180805AF1355ALGCDG01]";"crew177"
3;"[20180805AF1889OTPCDG01,20180805AF7633BODCDG01,20180805AF7626CDGBOD01]";"crew178"
3;"[20180805AF1723MUCCDG01,20180805AF1051CPHCDG01,20180805AF1050CDGCPH01]";"crew179"
5;"[20180806AF1381LHRCDG01,20180806AF1723MUCCDG01,20180805AF1845SVOCDG01,20180805AF1580CDGLHR01,20180806AF1722CDGMUC01]";"crew180"
3;"[20180805AF1620CDGTLV01,20180805AF1351CPHCDG01,20180806AF1321TLVCDG01]";"crew181"
7;"[20180806AF7625BODCDG01,20180807AF1351CPHCDG01,20180806AF7651LYSCDG01,20180807AF1301MADCDG01,20180806AF7620CDGBOD01,20180807AF1300CDGMAD01,20180806AF1850CDGCPH01]";"crew182"
6;"[20180806AF1854CDGALG01,20180807AF1355ALGCDG01,20180806AF1089OTPCDG01,20180807AF1581LHRCDG01,20180807AF1580CDGLHR01,20180805AF1888CDGOTP01]";"crew183"
5;"[20180805AF1581LHRCDG01,20180806AF1029BLQCDG01,20180807AF1033ATHCDG01,20180806AF1532CDGATH01,20180805AF1328CDGBLQ01]";"crew184"
2;"[20180806AF1281LHRCDG01,20180806AF1280CDGLHR01]";"crew185"
4;"[20180808AF7651LYSCDG01,20180808AF1643GVACDG01,20180806A54126LYSBOD01,20180808AF1642CDGGVA01]";"crew186"
11;"[20180806AF1631MXPCDG01,20180805AF1423MUCCDG01,20180808AF1123MUCCDG01,20180808AF1723MUCCDG01,20180806AF1643GVACDG01,20180807AF1415ZRHCDG01,20180808AF1722CDGMUC01,20180807AF1722CDGMUC01,20180805AF1230CDGMXP01,20180806AF1614CDGZRH01,20180806AF1642CDGGVA01]";"crew187"
10;"[20180808AF7721NTECDG01,20180805AF1669MANCDG01,20180805AF1596CDGCMN01,20180805AF1668CDGMAN01,20180808AF1411HAMCDG01,20180806AF1497CMNCDG01,20180807AF1695BUDCDG01,20180806AF1294CDGBUD01,20180807AF7720CDGNTE01,20180808AF1410CDGHAM01]";"crew188"
12;"[20180807AF7649LYSCDG01,20180806AF1823MUCCDG01,20180808AF7739BESCDG01,20180805AF1253BGOCDG01,20180807AF1851CPHCDG01,20180805AF1252CDGBGO01,20180808AF1659PMICDG01,20180807AF7646CDGLYS01,20180805AF1122CDGMUC01,20180807AF7732CDGBES01,20180806AF1350CDGCPH01,20180808AF1658CDGPMI01]";"crew189"
4;"[20180807AF1887EDICDG01,20180805AF1495BUDCDG01,20180805AF1494CDGBUD01,20180805AF1886CDGEDI01]";"crew190"
6;"[20180807AF1354CDGALG01,20180807AF1597CMNCDG01,20180808AF1051CPHCDG01,20180808AF1855ALGCDG01,20180806AF1781LHRCDG01,20180808AF1050CDGCPH01]";"crew191"
6;"[20180808AF1168CDGMAN01,20180808AF1753KBPCDG01,20180808AF1169MANCDG01,20180807AF1259RBACDG01,20180806AF1358CDGRBA01,20180807AF1652CDGKBP01]";"crew192"
14;"[20180808A54027BODLYS01,20180808A54023BODLYS01,20180809AF1801MADCDG01,20180809AF7627BODCDG01,20180806AF1833ATHCDG01,20180809AF1800CDGMAD01,20180807A56182BODBIA01,20180807A56094LYSAJA01,20180806AF7648CDGLYS01,20180808A54126LYSBOD01,20180808A54028LYSBOD01,20180806AF1832CDGATH01,20180807A56030AJABOD01,20180807A56183BIABOD01]";"crew193"
10;"[20180807AF1596CDGCMN01,20180807AF1668CDGMAN01,20180807AF1669MANCDG01,20180810AF1831MXPCDG01,20180810AF7721NTECDG01,20180808AF1497CMNCDG01,20180809AF1695BUDCDG01,20180808AF1294CDGBUD01,20180809AF7720CDGNTE01,20180810AF1830CDGMXP01]";"crew194"
3;"[20180810AF1665LEDCDG01,20180809AF1081LHRCDG01,20180809AF1464CDGLED01]";"crew195"
4;"[20180809AF1443GVACDG01,20180810AF1615ZRHCDG01,20180810AF1239VIECDG01,20180810AF1238CDGVIE01]";"crew196"
5;"[20180810AF1351CPHCDG01,20180810AF1620CDGTLV01,20180808AF1681LHRCDG01,20180811AF1321TLVCDG01,20180808AF1680CDGLHR01]";"crew197"
